"E_km","N_km","group"
852.21759582,7000,1
853.00016147,7000,1
853.00686936,6999.99907919,1
853.50238723,7000.00344401635,1
853.50238723,7000,1
864.3973795,7000,1
864.3973795,7000.00064390771,1
864.74712933,7000.00058698624,1
864.74712933,7000,1
1349.80324573,7000,1
1349.97309803713,6999.97309803713,1
1350,6999.80324573,1
1350,6403.25548822,1
1349.95157752,6402.8575417,1
1349.95713522,6402.21097581,1
1350,6401.90296114,1
1350,6395.57600073,1
1349.96409675211,6395.37498646791,1
1349.8331733,6395.25927179,1
1349.57149445,6395.01027937,1
1349.24705008,6394.70753695,1
1349.08826637,6394.5452753,1
1348.92764668,6394.36548614,1
1348.82373929,6394.24130746,1
1348.69871144,6394.08165502,1
1348.52935299468,6393.8219906196,1
1348.52723745,6393.82335103,1
1348.31118764,6393.48737666,1
1348.32585184527,6393.4779467777,1
1348.00071967,6392.85352286,1
1347.99630245,6392.83967003,1
1347.96979837,6392.76484869,1
1347.9461276,6392.70421667,1
1347.85429617,6392.52448484,1
1347.73822897,6392.26084404,1
1347.72737583,6392.23175198,1
1347.71566513,6392.19969471,1
1347.68957077,6392.12672146,1
1347.66064814,6392.05070475,1
1347.6587786585,6392.04588888685,1
1347.64595791,6392.02582447,1
1347.55259451,6391.81411501,1
1347.47664427421,6391.50621577566,1
1347.44798754,6391.45342874,1
1347.41908938853,6391.27289055884,1
1347.34587666,6390.97608907,1
1347.3456941,6390.97342199,1
1347.34033867,6390.92571328,1
1347.3631087362,6390.9231572839,1
1347.3148185,6390.62146908,1
1347.31494846153,6390.60920623789,1
1347.26001507,6390.34101304,1
1347.21180333,6389.95414875,1
1347.20675874,6389.84439876,1
1347.20507551,6389.83559144,1
1347.17887541,6389.72570758,1
1347.0527574,6389.28594106,1
1347.03686773,6389.22790812,1
1347.02920176,6389.19852645,1
1346.95510176,6388.75273414,1
1346.95395485,6388.73730744,1
1346.92719087,6388.55693851,1
1346.8683641,6388.2943776,1
1346.78094069,6388.01129955,1
1346.7893194152,6388.00871193599,1
1346.67574959,6387.58566663,1
1346.65350961,6387.43429502,1
1346.60817098,6387.23779665,1
1346.49487333,6386.88122036,1
1346.46696754,6386.80259158,1
1346.46599308,6386.80011183,1
1346.29300995,6385.91921906,1
1346.43536104016,6385.07547314813,1
1346.42976011,6385.10149833,1
1346.44239455,6384.93750106,1
1346.41079895,6384.77608096,1
1346.35859086,6384.62285108,1
1346.33255882,6384.54197055,1
1346.28534944,6384.38626857,1
1346.19820095811,6384.17665684222,1
1346.04781746951,6383.98156612498,1
1345.95561034,6383.92416237,1
1345.62359449279,6383.86770007388,1
1345.31210186,6383.87260547,1
1344.53152607,6383.61909238,1
1343.87510755,6383.12646454,1
1343.41358906,6382.44781283,1
1343.19670882,6381.65627608,1
1343.1795203,6381.48924777,1
1343.17771366628,6381.42479948473,1
1343.16700111,6381.36759339,1
1343.1477864,6381.18087566,1
1343.18626156,6380.41960743,1
1343.25801215322,6380.22699444531,1
1343.29252254,6380.00163043,1
1343.21879624,6379.64833534,1
1343.17676463686,6379.3514460226,1
1343.16588092,6379.32412584,1
1342.97148201,6379.06405814,1
1342.97317834775,6379.0627901386,1
1342.83857784,6378.9183936,1
1342.51002596,6378.22327699,1
1342.432149,6377.95956798,1
1342.42316341695,6377.94682402698,1
1342.08904064706,6377.71767168273,1
1341.76019256,6377.5590572,1
1341.26729352903,6377.12232407909,1
1340.90672012081,6376.88380739623,1
1340.75684306,6376.81176918,1
1340.42795707021,6376.49090133164,1
1340.30687691506,6376.4079873997,1
1340.24719082082,6376.43356955785,1
1340.18109476,6376.49417439,1
1339.65114518,6376.86631105,1
1339.58011252,6376.90350223,1
1338.91847413,6377.13861487,1
